user_sequence,challenge
4577_11,CI25689
4577_12,CI25688
4577_13,CI23630
4578_11,CI24754
4578_12,CI25689
4578_13,CI23630
4579_11,CI26452
4579_12,CI26470
4579_13,CI26458
4583_11,CI24112
4583_12,CI23615
4583_13,CI24759
4584_11,CI23630
4584_12,CI24754
4584_13,CI24672
4586_11,CI24112
4586_12,CI24759
4586_13,CI23615
4588_11,CI23656
4588_12,CI23615
4588_13,CI23725
4589_11,CI25821
4589_12,CI26411
4589_13,CI26412
4594_11,CI24769
4594_12,CI25689
4594_13,CI23656
4595_11,CI25821
4595_12,CI26411
4595_13,CI26412
4597_11,CI25821
4597_12,CI26411
4597_13,CI26412
4598_11,CI24112
4598_12,CI23634
4598_13,CI24759
4599_11,CI23630
4599_12,CI24759
4599_13,CI23615
4600_11,CI23615
4600_12,CI24148
4600_13,CI23634
4601_11,CI25821
4601_12,CI26411
4601_13,CI26412
4603_11,CI24755
4603_12,CI24763
4603_13,CI24757
4605_11,CI26452
4605_12,CI26470
4605_13,CI26458
4607_11,CI23615
4607_12,CI24148
4607_13,CI24671
4608_11,CI24754
4608_12,CI24112
4608_13,CI23662
4610_11,CI24769
4610_12,CI23615
4610_13,CI24671
4613_11,CI26452
4613_12,CI26470
4613_13,CI26458
4614_11,CI24112
4614_12,CI23800
4614_13,CI24398
4620_11,CI24754
4620_12,CI27565
4620_13,CI27564
4621_11,CI24400
4621_12,CI24112
4621_13,CI23615
4623_11,CI26452
4623_12,CI26470
4623_13,CI26458
4627_11,CI24112
4627_12,CI23615
4627_13,CI23725
4628_11,CI24763
4628_12,CI24757
4628_13,CI24755
4633_11,CI23615
4633_12,CI23972
4633_13,CI24148
4634_11,CI24769
4634_12,CI25689
4634_13,CI24757
4636_11,CI25821
4636_12,CI26411
4636_13,CI26412
4640_11,CI25821
4640_12,CI26411
4640_13,CI26412
4649_11,CI24769
4649_12,CI25689
4649_13,CI23656
4650_11,CI25821
4650_12,CI26411
4650_13,CI26412
4651_11,CI27574
4651_12,CI27571
4651_13,CI27568
4655_11,CI23615
4655_12,CI23725
4655_13,CI23630
4656_11,CI23630
4656_12,CI24112
4656_13,CI23800
4657_11,CI25689
4657_12,CI25688
4657_13,CI24916
4659_11,CI24757
4659_12,CI24769
4659_13,CI24754
4665_11,CI25821
4665_12,CI26411
4665_13,CI26412
4666_11,CI26452
4666_12,CI26470
4666_13,CI26458
4667_11,CI24763
4667_12,CI24757
4667_13,CI24755
4668_11,CI25821
4668_12,CI26411
4668_13,CI26412
4671_11,CI25821
4671_12,CI26411
4671_13,CI26412
4674_11,CI23615
4674_12,CI24112
4674_13,CI23807
4676_11,CI24769
4676_12,CI23630
4676_13,CI24148
4682_11,CI23615
4682_12,CI24148
4682_13,CI23630
4685_11,CI25821
4685_12,CI26411
4685_13,CI26412
4686_11,CI23800
4686_12,CI24754
4686_13,CI24917
4690_11,CI25821
4690_12,CI26411
4690_13,CI26412
4697_11,CI25821
4697_12,CI26411
4697_13,CI26412
4699_11,CI23791
4699_12,CI24847
4699_13,CI23726
4702_11,CI27574
4702_12,CI27568
4702_13,CI27572
4705_11,CI25821
4705_12,CI26411
4705_13,CI26412
4707_11,CI24757
4707_12,CI24754
4707_13,CI25689
4708_11,CI26452
4708_12,CI26470
4708_13,CI26458
4712_11,CI25821
4712_12,CI26411
4712_13,CI26412
4714_11,CI25689
4714_12,CI24754
4714_13,CI25688
4715_11,CI25821
4715_12,CI26411
4715_13,CI26412
4716_11,CI23656
4716_12,CI23831
4716_13,CI24759
4723_11,CI25821
4723_12,CI26411
4723_13,CI26412
4724_11,CI25821
4724_12,CI26411
4724_13,CI26412
4726_11,CI24148
4726_12,CI23630
4726_13,CI24759
4730_11,CI27029
4730_12,CI27030
4730_13,CI27038
4731_11,CI24112
4731_12,CI23634
4731_13,CI23615
4733_11,CI25821
4733_12,CI26411
4733_13,CI26412
4735_11,CI25821
4735_12,CI26411
4735_13,CI26412
4737_11,CI25821
4737_12,CI26411
4737_13,CI26412
4738_11,CI23615
4738_12,CI23656
4738_13,CI24148
4739_11,CI25821
4739_12,CI26411
4739_13,CI26412
4740_11,CI25821
4740_12,CI26411
4740_13,CI26412
4742_11,CI25821
4742_12,CI26411
4742_13,CI26412
4746_11,CI25821
4746_12,CI26411
4746_13,CI26412
4747_11,CI23630
4747_12,CI23800
4747_13,CI24754
4749_11,CI24754
4749_12,CI25689
4749_13,CI23630
4751_11,CI25689
4751_12,CI24769
4751_13,CI23615
4753_11,CI25821
4753_12,CI26411
4753_13,CI26412
4755_11,CI23630
4755_12,CI24112
4755_13,CI23800
4758_11,CI24112
4758_12,CI23864
4758_13,CI24402
4761_11,CI23615
4761_12,CI24148
4761_13,CI23972
4762_11,CI24112
4762_12,CI24110
4762_13,CI23972
4767_11,CI24401
4767_12,CI24389
4767_13,CI23864
4770_11,CI24112
4770_12,CI23725
4770_13,CI23634
4773_11,CI23630
4773_12,CI23725
4773_13,CI24759
4774_11,CI25821
4774_12,CI26411
4774_13,CI26412
4778_11,CI25821
4778_12,CI26411
4778_13,CI26412
4780_11,CI23615
4780_12,CI24402
4780_13,CI24400
4782_11,CI26452
4782_12,CI26470
4782_13,CI26458
4783_11,CI25821
4783_12,CI26411
4783_13,CI26412
4784_11,CI24754
4784_12,CI23630
4784_13,CI24757
4786_11,CI25821
4786_12,CI26411
4786_13,CI26412
4790_11,CI24769
4790_12,CI23630
4790_13,CI24148
4791_11,CI26452
4791_12,CI26470
4791_13,CI26458
4794_11,CI24112
4794_12,CI24754
4794_13,CI23615
4796_11,CI24401
4796_12,CI24865
4796_13,CI24390
4803_11,CI24148
4803_12,CI23725
4803_13,CI23656
4805_11,CI26452
4805_12,CI26470
4805_13,CI26458
4807_11,CI23630
4807_12,CI24754
4807_13,CI24672
4808_11,CI26452
4808_12,CI26470
4808_13,CI26458
4814_11,CI24759
4814_12,CI24148
4814_13,CI24071
4817_11,CI25821
4817_12,CI26411
4817_13,CI26412
4821_11,CI24754
4821_12,CI23923
4821_13,CI24112
4822_11,CI27574
4822_12,CI27568
4822_13,CI27571
4825_11,CI24917
4825_12,CI24915
4825_13,CI24759
4827_11,CI26452
4827_12,CI26470
4827_13,CI26458
4832_11,CI24754
4832_12,CI23662
4832_13,CI24112
4840_11,CI26452
4840_12,CI26470
4840_13,CI26458
4841_11,CI23615
4841_12,CI23972
4841_13,CI24671
4846_11,CI25821
4846_12,CI26411
4846_13,CI26412
4852_11,CI25821
4852_12,CI26411
4852_13,CI26412
4857_11,CI23630
4857_12,CI23615
4857_13,CI24112
4860_11,CI26452
4860_12,CI26470
4860_13,CI26458
4862_11,CI26452
4862_12,CI26470
4862_13,CI26458
4866_11,CI25821
4866_12,CI26411
4866_13,CI26412
4870_11,CI27574
4870_12,CI27571
4870_13,CI27568
4872_11,CI23634
4872_12,CI23807
4872_13,CI23725
4873_11,CI26452
4873_12,CI26470
4873_13,CI26458
4874_11,CI25821
4874_12,CI26411
4874_13,CI26412
4875_11,CI23630
4875_12,CI24112
4875_13,CI23725
4876_11,CI24754
4876_12,CI24917
4876_13,CI24759
4877_11,CI25821
4877_12,CI26411
4877_13,CI26412
4881_11,CI23615
4881_12,CI24671
